stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id,alias,stop_area,stop_desc,lest_x,lest_y,zone_name
29482,6701127-1,Vakalepa,58.61880022,24.29289878,29482,,Halinga vald,,6497692.94,517018.94,
29483,7800977-1,Turba,58.32919366,26.21317729,29483,,Rannu vald,,6467538.50,629638.25,
29484,8600534-1,Pässa,57.85929037,27.16572987,29484,,Lasva vald,,6417496.99,687868.55,
29485,6700022-1,Allikukivi,58.15011304,25.0170111,29485,,Saarde vald,,6445908.06,559882.99,
29486,8600493-1,Pikasilla,57.94335547,27.08024019,29486,,Lasva vald,,6426613.94,682369.02,
29487,6700023-1,Allikukivi,58.1506141,25.01605835,29487,,Saarde vald,,6445963.01,559826.05,
29488,6700455-1,Lepplaane tee,58.43951798,24.49965301,29488,,Sauga vald,,6477796.05,529181.00,PärnuMVLL
29489,7800379-1,Kärgandi tee,58.57404135,26.9818844,29489,,Vara vald,,6496525.97,673428.00,
29490,6700402-1,Laagna,58.38923525,24.00952218,29490,,Tõstamaa vald,,6472086.99,500556.92,
29491,8600288-1,Lapi,57.9051175,26.98466432,29491,,Võru vald,,6422103.46,676903.58,
29492,6700150-1,Jaanimardi,58.44693091,24.00181398,29492,,Tõstamaa vald,,6478513.01,500105.92,
29493,6700289-1,Kikepera,58.29650172,24.86572274,29493,,Surju vald,,6462086.08,550765.04,
29494,7000242-1,Kärpla,58.88537999,24.83793032,29494,,Kehtna vald,,6527650.16,548316.08,
29495,5700323-1,Rannamõisa,58.81728,23.78916848,29495,,Martna vald,,6519782.15,487819.06,
29496,5700322-1,Rannamõisa,58.81754,23.78875139,29496,,Martna vald,,6519811.19,487795.05,
29497,5700319-1,Rannajõe,58.82831,23.77867999,29497,,Martna vald,,6521012.67,487217.13,
29498,8600398-1,Metsa,57.80645488,27.03326584,29498,,Võru vald,,6411255.00,680279.04,
29499,8600420-1,Mõksi,57.76818819,27.03947557,29499,,Võru vald,,6407013.96,680840.92,
29500,5700318-1,Rannajõe,58.82838,23.77854999,29500,,Martna vald,,6521020.50,487209.65,
29501,5700463-1,Valgevälja tee,58.91123,23.52912999,29501,,Ridala vald,,6530322.95,472868.79,Läänelinn
29502,5700462-1,Valgevälja tee,58.91116,23.52873999,29502,,Ridala vald,,6530315.31,472846.26,Läänelinn
29503,7000281-1,Lellapere,58.89415356,24.81526468,29503,,Kehtna vald,,6528611.24,546997.34,
29504,7800912-1,Suure-Rakke,58.34691918,26.1820229,29504,,Rannu vald,,6469451.90,627749.80,
29505,7800935-1,Tani,58.34053215,27.07712969,29505,,Mäksa vald,,6470795.50,680156.37,
29507,5100029-1,Aruküla,58.73265707,25.34667056,29507,,Türi vald,,6511120.28,577988.96,tartu2
29508,7801006-1,Uhti,58.28580563,26.71256383,29508,Uhti,Ülenurme vald,,6463783.98,659071.02,
29509,6700797-1,Ridalepa,58.4613339,24.3517585,29509,,Audru vald,,6480171.03,520530.94,
29510,6700811-1,Ristiküla,58.18251739,24.79442917,29510,,Surju vald,,6449339.95,546735.02,
29524,6700285-1,Kiilu,58.43743189,24.46695615,29524,,Sauga vald,,6477549.95,527273.07,PärnuMVLL
29525,7800790-1,Rõhu,58.35064614,26.52603069,29525,,Tähtvere vald,,6470573.50,647865.75,
29526,6701129-1,Vaki,58.63063499,24.9826182,29526,,Vändra vald,,6499392.00,557074.05,
